no;question;a;b;c;d;e;answer;explained;source;qa_comb
25;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...;Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4);Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) , Pasal 6 L bertentangan dengan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Pasal 28 H ayat (2) yang menyatakan : ""Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan""";53_Putusan054PUUII2004.pdf;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...\n A.  Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4)\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
26;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;Undang-undang Nomor 23 tahun 2003 khususnya Pasal 1 ayat (6);e;"Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) , Pasal 6 L bertentangan dengan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Pasal 28 H ayat (2) yang menyatakan : ""Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan""";53_Putusan054PUUII2004.pdf;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945\n E.  Undang-undang Nomor 23 tahun 2003 khususnya Pasal 1 ayat (6)
27;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...;Undang-undang Nomor 23 tahun 2003 khususnya Pasal 6 L;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) , Pasal 6 L bertentangan dengan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Pasal 28 H ayat (2) yang menyatakan : ""Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan""";53_Putusan054PUUII2004.pdf;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...\n A.  Undang-undang Nomor 23 tahun 2003 khususnya Pasal 6 L\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
28;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;Undang-undang Nomor 23 tahun 2003 khususnya Pasal 28 H ayat (2);e;"Undang-undang Nomor 23 tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) , Pasal 6 L bertentangan dengan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Pasal 28 H ayat (2) yang menyatakan : ""Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan""";53_Putusan054PUUII2004.pdf;Setiap orang berhak mendapat kemudahan dan perlakuan khusus untuk memperoleh kesempatan dan manfaat yang sama gunamencapai persamaan dan keadilan, ada pada...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945\n E.  Undang-undang Nomor 23 tahun 2003 khususnya Pasal 28 H ayat (2)
29;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4);Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) dan Pasal 6 I bertentangan dengan Undang-Undang Dasar Republik Indonesia Tahun 1945 . Pasal 28 I ayat (2) yang menyatakan : ""Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu""";53_Putusan054PUUII2004.pdf;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...\n A.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4)\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
30;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 1 ayat (6);e;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) dan Pasal 6 I bertentangan dengan Undang-Undang Dasar Republik Indonesia Tahun 1945 . Pasal 28 I ayat (2) yang menyatakan : ""Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu""";53_Putusan054PUUII2004.pdf;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945\n E.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 1 ayat (6)
31;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 6 I;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1,2,3 dan 4), Pasal 1 ayat (6) dan Pasal 6 I bertentangan dengan Undang-Undang Dasar Republik Indonesia Tahun 1945 . Pasal 28 I ayat (2) yang menyatakan : ""Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu""";53_Putusan054PUUII2004.pdf;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada...\n A.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 6 I\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
32;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1, 2, 3 dan 4);Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1, 2, 3 dan 4), Pasal 1 ayat (6) dan Pasal 6L bertentangan dengan Undang-Undang dasar Negara Republik Indonesia Tahun 1945. Pasal 28 J ayat (1) yang menyatakan: ""Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara"" ";53_Putusan054PUUII2004.pdf;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...\n A.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1, 2, 3 dan 4)\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
33;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 1 ayat (6);e;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1, 2, 3 dan 4), Pasal 1 ayat (6) dan Pasal 6L bertentangan dengan Undang-Undang dasar Negara Republik Indonesia Tahun 1945. Pasal 28 J ayat (1) yang menyatakan: ""Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara"" ";53_Putusan054PUUII2004.pdf;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945\n E.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 1 ayat (6)
34;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...;Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 6L;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;a;"Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 5 ayat (1, 2, 3 dan 4), Pasal 1 ayat (6) dan Pasal 6L bertentangan dengan Undang-Undang dasar Negara Republik Indonesia Tahun 1945. Pasal 28 J ayat (1) yang menyatakan: ""Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara"" ";53_Putusan054PUUII2004.pdf;Setiap orang wajib menghormati hak azasi manusia orang lain dalam tertib kehidupan bermasyarakat, berbangsa dan bernegara, ada pada...\n A.  Undang-undang Nomor 23 Tahun 2003 khususnya Pasal 6L\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945
35;Setiap orang berhak hidup sejahtera lahir dan batin, bertempat tinggal dan mendapatkan lingkungan hidup yang baik dan sehat serta memperoleh pelayanan kesehatan, pada...;Pasal 21 H ayat 1 (Konstitusi/UUD 1945);Pasal 28 H ayat 1 (Konstitusi/UUD 1945);Pasal 28 A ayat 1 (Konstitusi/UUD 1945);Pasal 28 B ayat 1 (Konstitusi/UUD 1945);Pasal 28 C ayat 1 (Konstitusi/UUD 1945);b;Pasal 28 H ayat 1 (Konstitusi/UUD 1945) berbunyi Setiap orang berhak hidup sejahtera lahir dan batin, bertempat tinggal dan mendapatkan lingkungan hidup yang baik dan sehat serta memperoleh pelayanan kesehatan.;53_Putusan054PUUII2004.pdf;Setiap orang berhak hidup sejahtera lahir dan batin, bertempat tinggal dan mendapatkan lingkungan hidup yang baik dan sehat serta memperoleh pelayanan kesehatan, pada...\n A.  Pasal 21 H ayat 1 (Konstitusi/UUD 1945)\n B.  Pasal 28 H ayat 1 (Konstitusi/UUD 1945)\n C.  Pasal 28 A ayat 1 (Konstitusi/UUD 1945)\n D.  Pasal 28 B ayat 1 (Konstitusi/UUD 1945)\n E.  Pasal 28 C ayat 1 (Konstitusi/UUD 1945)
36;Pada Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi. Pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang adalah...;Presiden;Pemohon;Wakil Presiden;Polisi;Tentara;b;Menimbang bahwa, Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi menyatakan, Pemohon adalah pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang, yaitu: perorangan warga negara Indonesia, kesatuan masyarakat hukum adat sepanjang masih hidup dan sesuai dengan perkembangan masyarakat dan prinsip-prinsip Negara Kesatuan Republik Indonesia yang diatur dalam undang-undang, badan hukum publik atau privat, atau lembaga negara;53_Putusan054PUUII2004.pdf;Pada Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi. Pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang adalah...\n A.  Presiden\n B.  Pemohon\n C.  Wakil Presiden\n D.  Polisi\n E.  Tentara
37;Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi menyatakan, Pemohon adalah pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang, yaitu...;perorangan warga negara Indonesia, kesatuan masyarakat hukum adat sepanjang masih hidup dan sesuai dengan perkembangan masyarakat dan prinsip-prinsip Negara Kesatuan Republik Indonesia yang diatur dalam undang-undang, badan hukum publik atau privat, atau lembaga negara;Perorangan warga negara Indonesia, mempunyai darah daging, atau lembaga negara;perorangan warga negara Indonesia, bekerja didalam pemeritahan, atau lembaga negara;perorangan warga negara Indonesia, bisa berbahasa indonesia, badan hukum publik atau privat, atau lembaga negara;perorangan warga negara Indonesia, kriminal, badan hukum publik atau privat, atau lembaga negara;a;Menimbang bahwa, Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi menyatakan, Pemohon adalah pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang, yaitu: perorangan warga negara Indonesia, kesatuan masyarakat hukum adat sepanjang masih hidup dan sesuai dengan perkembangan masyarakat dan prinsip-prinsip Negara Kesatuan Republik Indonesia yang diatur dalam undang-undang, badan hukum publik atau privat, atau lembaga negara;53_Putusan054PUUII2004.pdf;Pasal 51 ayat (1) Undang-undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi menyatakan, Pemohon adalah pihak yang menganggap hak dan/atau kewenangan konstitusionalnya dirugikan oleh berlakunya suatu undang-undang, yaitu...\n A.  perorangan warga negara Indonesia, kesatuan masyarakat hukum adat sepanjang masih hidup dan sesuai dengan perkembangan masyarakat dan prinsip-prinsip Negara Kesatuan Republik Indonesia yang diatur dalam undang-undang, badan hukum publik atau privat, atau lembaga negara\n B.  Perorangan warga negara Indonesia, mempunyai darah daging, atau lembaga negara\n C.  perorangan warga negara Indonesia, bekerja didalam pemeritahan, atau lembaga negara\n D.  perorangan warga negara Indonesia, bisa berbahasa indonesia, badan hukum publik atau privat, atau lembaga negara\n E.  perorangan warga negara Indonesia, kriminal, badan hukum publik atau privat, atau lembaga negara
38;Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum, bunyi dari…;Pasal 28D ayat (1) UUD 1945;Pasal 27D ayat (1) UUD 1945;Pasal 26D ayat (1) UUD 1945;Pasal 25D ayat (1) UUD 1945;Pasal 24D ayat (1) UUD 1945;a;"Pasal 28D ayat (1) UUD 1945 yang menyatakan, ""Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum"". ";287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum, bunyi dari…\n A.  Pasal 28D ayat (1) UUD 1945\n B.  Pasal 27D ayat (1) UUD 1945\n C.  Pasal 26D ayat (1) UUD 1945\n D.  Pasal 25D ayat (1) UUD 1945\n E.  Pasal 24D ayat (1) UUD 1945
39;Setiap orang berhak atas kebebasan meyakini kepercayaan, menyatakan pikiran dan sikap, sesuai dengan hati nuraninya, dari pasal…;Pasal 28F ayat (2) UUD 1945;Pasal 28A ayat (2) UUD 1945;Pasal 28B ayat (2) UUD 1945;Pasal 28C ayat (2) UUD 1945;Pasal 28E ayat (2) UUD 1945;e;"Pasal 28E ayat (2) UUD 1945 yang menyatakan, ""Setiap orang berhak atas kebebasan meyakini kepercayaan, menyatakan pikiran dan sikap, sesuai dengan hati nuraninya"", ";287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang berhak atas kebebasan meyakini kepercayaan, menyatakan pikiran dan sikap, sesuai dengan hati nuraninya, dari pasal…\n A.  Pasal 28F ayat (2) UUD 1945\n B.  Pasal 28A ayat (2) UUD 1945\n C.  Pasal 28B ayat (2) UUD 1945\n D.  Pasal 28C ayat (2) UUD 1945\n E.  Pasal 28E ayat (2) UUD 1945
40;Setiap orang berhak atas kebebasan berserikat, berkumpul dan mengeluarkan pendapat, dari pasal…;Pasal 28A ayat (3) UUD 1945;Pasal 28E ayat (3) UUD 1945;Pasal 28B ayat (3) UUD 1945;Pasal 28C ayat (3) UUD 1945;Pasal 28D ayat (3) UUD 1945;b;"Pasal 28E ayat (3) UUD 1945 yang menyatakan, ""Setiap orang berhak atas kebebasan berserikat, berkumpul dan mengeluarkan pendapat""";287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang berhak atas kebebasan berserikat, berkumpul dan mengeluarkan pendapat, dari pasal…\n A.  Pasal 28A ayat (3) UUD 1945\n B.  Pasal 28E ayat (3) UUD 1945\n C.  Pasal 28B ayat (3) UUD 1945\n D.  Pasal 28C ayat (3) UUD 1945\n E.  Pasal 28D ayat (3) UUD 1945
41;Setiap orang berhak untuk berkomunikasi dan memperoleh informasi untuk mengembangkan pribadi dan lingkungan sosialnya, serta berhak untuk mencari, memperoleh, memiliki, menyimpan, mengolah, dan menyampaikan informasi dengan menggunakan segala jenis saluran yang tersedia, ada pada pasal...;Pasal 28B UUD 1945;Pasal 28C UUD 1945;Pasal 28E UUD 1945;Pasal 28E UUD 1945;Pasal 28F UUD 1945;e;"Pasal 28F UUD 1945 menyatakan, ""Setiap orang berhak untuk berkomunikasi dan memperoleh informasi untuk mengembangkan pribadi dan lingkungan sosialnya, serta berhak untuk mencari, memperoleh, memiliki, menyimpan, mengolah, dan menyampaikan informasi dengan menggunakan segala jenis saluran yang tersedia"".";287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang berhak untuk berkomunikasi dan memperoleh informasi untuk mengembangkan pribadi dan lingkungan sosialnya, serta berhak untuk mencari, memperoleh, memiliki, menyimpan, mengolah, dan menyampaikan informasi dengan menggunakan segala jenis saluran yang tersedia, ada pada pasal...\n A.  Pasal 28B UUD 1945\n B.  Pasal 28C UUD 1945\n C.  Pasal 28E UUD 1945\n D.  Pasal 28E UUD 1945\n E.  Pasal 28F UUD 1945
42;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama…;5 (lima) tahun;6 (enam) tahun;7 (tujuh) tahun;8 (delapan) tahun;9 (sembilan) tahun;b;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama 6 (enam) tahun dan/atau denda paling banyak Rp 1.000.000.000,00 (satu miliar rupiah);287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama…\n A.  5 (lima) tahun\n B.  6 (enam) tahun\n C.  7 (tujuh) tahun\n D.  8 (delapan) tahun\n E.  9 (sembilan) tahun
43;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama 6 (enam) tahun dan/atau denda paling banyak…;Rp 2.000.000.000,00 (dua miliar rupiah);Rp 3.000.000.000,00 (tiga miliar rupiah);Rp 1.000.000.000,00 (satu miliar rupiah);Rp 4.000.000.000,00 (empat miliar rupiah);Rp 5.000.000.000,00 (lima miliar rupiah);c;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama 6 (enam) tahun dan/atau denda paling banyak...;287_putusan_sidang_FINAL%2520PUTUSAN%252050%2520UU%2520ITE%25202008.pdf;Setiap orang yang memenuhi unsur sebagaimana dimaksud dalam Pasal 27 ayat (1), ayat (2), ayat (3), atau ayat (4) dipidana dengan pidana penjara paling lama 6 (enam) tahun dan/atau denda paling banyak…\n A.  Rp 2.000.000.000,00 (dua miliar rupiah)\n B.  Rp 3.000.000.000,00 (tiga miliar rupiah)\n C.  Rp 1.000.000.000,00 (satu miliar rupiah)\n D.  Rp 4.000.000.000,00 (empat miliar rupiah)\n E.  Rp 5.000.000.000,00 (lima miliar rupiah)
44;Undang-Undang Nomor 32 Tahun 2004, sebagaimana tertakhir telah diubah dengan…;Undang-Undang Nomor 11 Tahun 2008;Undang-Undang Nomor 12 Tahun 2008;Undang-Undang Nomor 13 Tahun 2008;Undang-Undang Nomor 14 Tahun 2008;Undang-Undang Nomor 15 Tahun 2008;b;Pasal 104 ayat (2) huruf c Undang-Undang Nomor 32 Tahun 2004, sebagaimana tertakhir telah diubah dengan Undang-Undang Nomor 12 Tahun 2008;457_putusan_sidang_no_9-PHPU-D-VIII-2010_030610.pdf;Undang-Undang Nomor 32 Tahun 2004, sebagaimana tertakhir telah diubah dengan…\n A.  Undang-Undang Nomor 11 Tahun 2008\n B.  Undang-Undang Nomor 12 Tahun 2008\n C.  Undang-Undang Nomor 13 Tahun 2008\n D.  Undang-Undang Nomor 14 Tahun 2008\n E.  Undang-Undang Nomor 15 Tahun 2008
